ownerId,ownerType,accountId,companyId,role,ownershipPct
C0015,Company,A00100,,PRIMARY_HOLDER,100
C0016,Company,A00101,,PRIMARY_HOLDER,100
C0017,Company,A00102,,PRIMARY_HOLDER,100
C0018,Company,A00103,,PRIMARY_HOLDER,100
C0018,Company,A00104,,PRIMARY_HOLDER,100
C0019,Company,A00105,,PRIMARY_HOLDER,100
C0019,Company,A00106,,PRIMARY_HOLDER,100
C0020,Company,A00107,,PRIMARY_HOLDER,100
P0054,Person,,C0002,BENEFICIAL_OWNER,75
P0027,Person,,C0005,BENEFICIAL_OWNER,75
P0025,Person,,C0008,BENEFICIAL_OWNER,100
P0058,Person,,C0001,BENEFICIAL_OWNER,75
