accountId,bank,accountType,country,openedDate,riskScore
A00081,Northgate Financial,OFFSHORE,RU,2018-11-23,0.51
A00082,Solstice Bank,OFFSHORE,RU,2019-11-28,0.89
A00083,Meridian Bank,OFFSHORE,AE,2025-06-25,0.84
A00084,Solstice Bank,OFFSHORE,AE,2017-05-10,0.68
A00085,Pacific Crest Bank,OFFSHORE,RU,2018-01-21,0.58
A00086,Northgate Financial,OFFSHORE,RU,2020-05-19,0.7
A00087,Meridian Bank,OFFSHORE,KY,2018-01-29,0.56
A00088,Meridian Bank,OFFSHORE,KY,2018-09-09,0.86
A00089,Northgate Financial,OFFSHORE,RU,2020-09-12,0.81
A00090,Solstice Bank,OFFSHORE,RU,2019-11-10,0.57
A00091,Northgate Financial,BUSINESS,CH,2021-03-18,0.02
A00092,Pacific Crest Bank,BUSINESS,DE,2017-03-04,0.14
A00093,Solstice Bank,BUSINESS,NG,2024-11-17,0.16
A00094,Pacific Crest Bank,BUSINESS,NG,2020-06-11,0.18
A00095,Solstice Bank,BUSINESS,NG,2024-04-01,0.24
A00096,Solstice Bank,BUSINESS,NG,2026-01-04,0.13
A00097,Pacific Crest Bank,BUSINESS,US,2016-09-29,0.27
A00098,Northgate Financial,BUSINESS,RU,2025-05-11,0.08
A00099,Solstice Bank,BUSINESS,CH,2022-04-22,0.08
A00100,Northgate Financial,BUSINESS,CH,2021-04-27,0.15
A00101,Union Trust,BUSINESS,PA,2025-12-23,0.13
A00102,Union Trust,BUSINESS,US,2019-07-15,0.08
A00103,Northgate Financial,BUSINESS,UK,2020-06-13,0.02
A00104,Northgate Financial,BUSINESS,UK,2025-06-20,0.07
A00105,Pacific Crest Bank,BUSINESS,CH,2024-11-27,0.06
A00106,Solstice Bank,BUSINESS,CH,2021-12-07,0.12
A00107,Northgate Financial,BUSINESS,SG,2023-11-24,0.12
